name,type,currency,interval,mrr,arr,discount_count,prompts_count,prompt_limit,baseline_credits_needed,credits_usage,credits_capacity,orgs_count,orgs_count_hf,orgs_purchased,new_plan,plan_credits,plan_price,purchased_credits,extra_credits_granted,extra_credits_granted_10,discount_pct,discount_amount,total_available_credits,unused_credits,unused_purchased_credits,arr_at_risk
NFM,IN_HOUSE,usd,month,89,,0,25.0,25.0,2250,2250,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1310,1310,393
Haribo,IN_HOUSE,eur,month,89,,0,4.0,25.0,2250,360,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,3200,3200,960
Firesign,AGENCY,usd,month,199,,0,16.0,100.0,9000,1440,9000.0,2,0,2.0,growth,12935,199.0,0,0,0,0.0,0,12935,11495,11495,2122
Omniscient,AGENCY,eur,month,1440,,0,404.0,450.0,42750,38340,42750.0,17,2,16.0,scale,37425,499.0,5325,0,0,0.0,0,42750,4410,4410,706
BIKE24,IN_HOUSE,eur,month,199,,0,97.0,100.0,9000,8730,9000.0,1,0,1.0,pro,14925,199.0,0,0,0,0.0,0,14925,6195,6195,991
Siteminder,IN_HOUSE,eur,month,299,,0,101.0,200.0,18000,9090,18000.0,1,0,1.0,pro,14925,199.0,3075,0,0,0.0,0,18000,8910,8910,1426
Blueprint for Scale,AGENCY,eur,month,89,,0,8.0,25.0,2250,720,2250.0,1,0,1.0,intro,2250,89.0,0,0,0,0.0,0,2250,1530,1530,726
Payhawk,IN_HOUSE,eur,year,499,5988.0,0,300.0,300.0,45000,45000,45000.0,1,0,,enterprise,49900,415.8333333333333,0,0,0,0.0,0,49900,4900,4900,490
Ray Sono,AGENCY,eur,month,89,,0,16.0,25.0,2250,1440,2250.0,1,0,1.0,intro,2250,89.0,0,0,0,0.0,0,2250,810,810,384
Soda PDF,IN_HOUSE,eur,month,199,,0,66.0,100.0,9000,5940,9000.0,1,0,1.0,pro,14925,199.0,0,0,0,0.0,0,14925,8985,8985,1438
Travel Manitoba,IN_HOUSE,eur,month,89,,0,24.0,25.0,2250,2160,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1400,1400,420
Fielmann,IN_HOUSE,eur,month,199,,0,68.0,100.0,9000,6120,9000.0,1,0,1.0,pro,14925,199.0,0,0,0,0.0,0,14925,8805,8805,1409
Bloom Search Marketing,AGENCY,eur,month,89,,0,17.0,25.0,4500,3060,4500.0,1,0,1.0,intro,2250,89.0,0,2250,2475,0.0,0,4500,1440,0,0
KO-PYLOT,AGENCY,eur,month,89,,0,30.0,25.0,2700,2700,2250.0,1,0,1.0,intro,2250,89.0,0,450,495,0.0,0,2700,0,0,0
Agency,AGENCY,eur,month,89,,0,6.0,25.0,2250,540,2250.0,1,0,1.0,intro,2250,89.0,0,0,0,0.0,0,2250,1710,1710,812
ifeel,IN_HOUSE,eur,month,89,,0,24.0,25.0,2250,2160,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1400,1400,420
this is digital,AGENCY,eur,month,199,,0,67.0,100.0,9000,6030,9000.0,2,0,2.0,growth,12935,199.0,0,0,0,0.0,0,12935,6905,6905,1275
Standards Store,IN_HOUSE,eur,month,89,,0,18.0,25.0,2250,1620,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1940,1940,582
Otché,AGENCY,eur,month,89,,0,25.0,25.0,2250,2250,2250.0,1,0,1.0,intro,2250,89.0,0,0,0,0.0,0,2250,0,0,0
ex Ventures UG,AGENCY,eur,month,89,,0,2.0,25.0,2250,180,2250.0,1,0,1.0,intro,2250,89.0,0,0,0,0.0,0,2250,2070,2070,983
Tell Me More,AGENCY,usd,month,89,,0,99.0,100.0,9000,8910,9000.0,1,0,1.0,intro,2250,89.0,0,6750,7425,0.0,0,9000,90,0,0
Railsware,IN_HOUSE,usd,month,89,,0,25.0,100.0,12000,3000,12000.0,1,0,1.0,starter,3560,89.0,0,8440,9284,0.0,0,12000,9000,560,168
Advidera ,AGENCY,eur,month,89,,0,10.0,25.0,2250,900,2250.0,1,0,1.0,intro,2250,89.0,0,0,0,0.0,0,2250,1350,1350,641
precis.,AGENCY,eur,month,339,,1,166.0,120.0,14940,14940,10800.0,4,4,4.0,growth,12935,199.0,2005,0,0,0.0,0,14940,0,0,0
Index Ventures,IN_HOUSE,eur,month,89,,0,25.0,25.0,2250,2250,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1310,1310,393
Future PLC,AGENCY,eur,month,499,,0,494.0,500.0,45000,44460,45000.0,2,0,1.0,scale,37425,499.0,0,7575,8332,0.0,0,45000,540,0,0
Gravy,AGENCY,eur,month,89,,0,0.0,25.0,2250,0,2250.0,1,0,1.0,intro,2250,89.0,0,0,0,0.0,0,2250,2250,2250,1068
Conqueri Digital,IN_HOUSE,eur,month,89,,0,10.0,25.0,2250,900,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,2660,2660,798
Outletcity Metzingen,IN_HOUSE,eur,month,89,,0,25.0,25.0,2250,2250,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1310,1310,393
Access Holdings ,IN_HOUSE,eur,month,90,,0,21.0,25.0,2250,1890,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1670,1670,501
Character AI,IN_HOUSE,usd,month,89,,0,25.0,25.0,2250,2250,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1310,1310,393
Mint Studios,AGENCY,eur,month,600,,0,231.0,400.0,36000,20790,36000.0,8,0,8.0,scale,37425,499.0,0,0,0,0.0,0,37425,16635,16635,2662
Skindr,IN_HOUSE,eur,month,89,,0,8.0,25.0,2250,720,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,2840,2840,852
Jerasoft ,IN_HOUSE,eur,month,89,,0,19.0,25.0,2250,1710,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1850,1850,555
Meili & Hess,IN_HOUSE,eur,month,200,,0,192.0,200.0,18000,17280,18000.0,6,0,6.0,pro,14925,199.0,75,3000,3300,0.0,0,18000,720,0,0
Sharetribe,IN_HOUSE,eur,month,89,,0,10.0,25.0,2250,900,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,2660,2660,798
DELUCKS,AGENCY,eur,month,89,,0,15.0,25.0,2250,1350,2250.0,1,0,1.0,intro,2250,89.0,0,0,0,0.0,0,2250,900,900,427
Pan Macmillan,IN_HOUSE,eur,month,199,,0,100.0,100.0,9000,9000,9000.0,1,0,1.0,pro,14925,199.0,0,0,0,0.0,0,14925,5925,5925,948
FastDL,IN_HOUSE,eur,month,200,,0,15.0,50.0,4500,1350,4500.0,2,0,5.0,pro,14925,199.0,0,0,0,0.0,0,14925,13575,13575,2172
Worders,AGENCY,eur,month,89,,0,9.0,25.0,2250,810,2250.0,1,0,1.0,intro,2250,89.0,0,0,0,0.0,0,2250,1440,1440,684
UAB Tvora,IN_HOUSE,eur,month,89,,0,25.0,25.0,2250,2250,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1310,1310,393
Create Group,AGENCY,eur,month,1600,,0,1597.0,1600.0,144000,143730,144000.0,1,0,,scale,37425,499.0,82575,24000,26400,0.0,0,144000,270,0,0
sofatutor,IN_HOUSE,eur,month,248,,0,67.0,100.0,12000,8040,12000.0,1,0,1.0,pro,14925,199.0,0,0,0,0.0,0,14925,6885,6885,1102
Asseco Solutions AG,IN_HOUSE,eur,month,120,,0,50.0,50.0,9750,9750,9750.0,1,1,1.0,starter,3560,89.0,1240,4950,5445,0.0,0,9750,0,0,0
Narrative Industries,AGENCY,eur,month,89,,0,10.0,25.0,2250,900,2250.0,1,0,1.0,intro,2250,89.0,0,0,0,0.0,0,2250,1350,1350,641
Practice Better,IN_HOUSE,eur,month,89,,0,24.0,25.0,2250,2160,2250.0,1,0,,starter,3560,89.0,0,0,0,0.0,0,3560,1400,1400,420
Bearaby,IN_HOUSE,eur,month,89,,0,25.0,25.0,2250,2250,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1310,1310,393
Vero,AGENCY,eur,month,89,,0,14.0,25.0,2250,1260,2250.0,1,0,1.0,intro,2250,89.0,0,0,0,0.0,0,2250,990,990,470
Ströer Publishing,AGENCY,eur,month,89,,0,13.0,25.0,2250,1170,2250.0,1,0,1.0,intro,2250,89.0,0,0,0,0.0,0,2250,1080,1080,513
varosun,IN_HOUSE,eur,month,89,,0,9.0,25.0,2250,810,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,2750,2750,825
Espace Concours,IN_HOUSE,eur,month,89,,0,21.0,25.0,2250,1890,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1670,1670,501
Abraxio,IN_HOUSE,eur,year,169,2029.0,0,92.0,100.0,9000,8280,9000.0,1,0,1.0,pro,14925,165.83333333333334,0,0,0,0.0,0,14925,6645,6645,886
papernest,IN_HOUSE,eur,month,89,,0,7.0,25.0,2250,630,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,2930,2930,879
AsiaYo Travel Technology ,AGENCY,eur,month,89,,0,25.0,25.0,2250,2250,2250.0,1,0,1.0,intro,2250,89.0,0,0,0,0.0,0,2250,0,0,0
Functionize,IN_HOUSE,eur,month,199,,0,100.0,100.0,9000,9000,9000.0,1,0,1.0,pro,14925,199.0,0,0,0,0.0,0,14925,5925,5925,948
Verder,IN_HOUSE,eur,month,199,,0,48.0,100.0,9000,4320,9000.0,1,0,1.0,pro,14925,199.0,0,0,0,0.0,0,14925,10605,10605,1697
Magnetic North,AGENCY,eur,month,495,,0,220.0,330.0,29700,19800,29700.0,11,0,11.0,growth,12935,199.0,16765,0,0,0.0,0,29700,9900,9900,1828
WireMock,IN_HOUSE,eur,month,89,,0,18.0,25.0,2250,1620,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1940,1940,582
Simform,IN_HOUSE,eur,month,89,,0,15.0,25.0,2250,1350,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,2210,2210,663
Universität Siegen,IN_HOUSE,eur,month,89,,0,25.0,25.0,2250,2250,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1310,1310,393
ICANIWILL,IN_HOUSE,eur,month,199,,0,80.0,125.0,11250,7200,11250.0,3,0,1.0,pro,14925,199.0,0,0,0,0.0,0,14925,7725,7725,1236
Flood Digital,AGENCY,usd,month,699,,0,171.0,275.0,31500,18540,31500.0,8,1,,scale,37425,499.0,0,0,0,0.0,0,37425,18885,18885,3022
Advice Interactive,AGENCY,usd,month,2260,,0,1981.0,2050.0,184500,178290,184500.0,3,0,3.0,scale,37425,499.0,132075,15000,16500,0.0,0,184500,6210,0,0
גמבורג הסעות rent a bus,IN_HOUSE,eur,month,199,,0,98.0,100.0,9000,8820,9000.0,4,0,4.0,pro,14925,199.0,0,0,0,0.0,0,14925,6105,6105,977
cafecasino,IN_HOUSE,eur,month,89,,0,16.0,25.0,2250,1440,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,2120,2120,636
Jedha Bootcamp,IN_HOUSE,eur,month,199,,0,57.0,100.0,9000,5130,9000.0,1,0,1.0,pro,14925,199.0,0,0,0,0.0,0,14925,9795,9795,1567
WellEasy,IN_HOUSE,eur,month,89,,0,5.0,25.0,2250,450,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,3110,3110,933
PANBlast,AGENCY,usd,month,199,,0,99.0,100.0,9000,8910,9000.0,4,0,4.0,growth,12935,199.0,0,0,0,0.0,0,12935,4025,4025,743
Siege,AGENCY,usd,month,1373,,0,892.0,1360.0,128400,81750,128400.0,49,0,,scale,37425,499.0,65550,25425,27968,0.0,0,128400,46650,21225,3396
gastromatic,IN_HOUSE,eur,month,89,,0,20.0,25.0,2250,1800,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1760,1760,528
SureCam,IN_HOUSE,usd,month,89,,0,13.0,25.0,2250,1170,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,2390,2390,717
Yours Sincerely,AGENCY,eur,month,178,,0,75.0,75.0,6750,6750,6750.0,3,0,2.0,intro,2250,89.0,2250,2250,2475,0.0,0,6750,0,0,0
FOA,IN_HOUSE,eur,month,89,,0,25.0,25.0,2250,2250,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1310,1310,393
Web Focused,AGENCY,eur,month,199,,0,44.0,100.0,9000,3960,9000.0,2,0,2.0,growth,12935,199.0,0,0,0,0.0,0,12935,8975,8975,1657
VAQA,AGENCY,eur,month,450,,0,291.0,300.0,27000,26190,27000.0,3,0,3.0,growth,12935,199.0,14065,0,0,0.0,0,27000,810,810,150
DEPT,AGENCY,eur,month,1474,,0,1161.0,1250.0,112500,104490,112500.0,8,0,7.0,scale,37425,499.0,73125,1950,2145,0.0,0,112500,8010,6060,970
Atria,IN_HOUSE,usd,month,89,,0,5.0,25.0,2250,450,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,3110,3110,933
commercetools - CPG & Retail,AGENCY,usd,month,89,,0,12.0,25.0,2250,1080,2250.0,1,0,1.0,intro,2250,89.0,0,0,0,0.0,0,2250,1170,1170,555
Jitter,IN_HOUSE,eur,month,89,,0,13.0,25.0,2250,1170,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,2390,2390,717
HowToSaaS,AGENCY,eur,month,90,,0,25.0,25.0,2250,2250,2250.0,1,0,1.0,intro,2250,89.0,0,0,0,0.0,0,2250,0,0,0
Mito,AGENCY,eur,year,1350,16200.0,0,1591.0,2525.0,245250,156240,245250.0,20,0,,scale,37425,415.8333333333333,84075,123750,136125,0.0,0,245250,89010,0,0
TF Group S.p.A.,AGENCY,eur,month,89,,0,25.0,25.0,2250,2250,2250.0,1,0,1.0,intro,2250,89.0,0,0,0,0.0,0,2250,0,0,0
Carglass,IN_HOUSE,eur,month,199,,0,95.0,100.0,9000,8550,9000.0,1,0,1.0,pro,14925,199.0,0,0,0,0.0,0,14925,6375,6375,1020
Cream Content,AGENCY,eur,month,199,,0,21.0,100.0,9000,1890,9000.0,1,0,1.0,growth,12935,199.0,0,0,0,0.0,0,12935,11045,11045,2039
QLINT,AGENCY,eur,month,89,,0,16.0,25.0,2250,1440,2250.0,1,0,1.0,intro,2250,89.0,0,0,0,0.0,0,2250,810,810,384
Aperitif,AGENCY,eur,month,199,,0,21.0,100.0,9000,1890,9000.0,1,0,1.0,growth,12935,199.0,0,0,0,0.0,0,12935,11045,11045,2039
7aeo,AGENCY,eur,month,200,,0,121.0,150.0,13500,10890,13500.0,6,0,6.0,growth,12935,199.0,68,497,547,0.0,0,13500,2610,2113,390
Appleby Global,IN_HOUSE,eur,year,169,2029.0,0,5.0,100.0,9000,450,9000.0,1,0,1.0,pro,14925,165.83333333333334,0,0,0,0.0,0,14925,14475,14475,1930
Inscope Agency,AGENCY,eur,month,199,,0,87.0,100.0,9000,7830,9000.0,1,0,1.0,growth,12935,199.0,0,0,0,0.0,0,12935,5105,5105,942
OsmoFresh,IN_HOUSE,eur,month,89,,0,8.0,25.0,2250,720,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,2840,2840,852
Get Found Digital,AGENCY,eur,month,499,,0,300.0,300.0,27000,27000,27000.0,1,0,1.0,scale,37425,499.0,0,0,0,0.0,0,37425,10425,10425,1668
Built In,IN_HOUSE,usd,month,199,,0,51.0,100.0,9000,4590,9000.0,1,0,1.0,pro,14925,199.0,0,0,0,0.0,0,14925,10335,10335,1654
Digital Leverage,AGENCY,eur,month,240,,0,79.0,120.0,10800,7110,10800.0,4,2,4.0,growth,12935,199.0,0,0,0,0.0,0,12935,5825,5825,1075
Solsten,IN_HOUSE,eur,month,89,,0,21.0,25.0,2250,1890,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1670,1670,501
stop Looking,AGENCY,eur,month,178,,0,30.0,50.0,4500,2700,4500.0,2,0,2.0,intro,2250,89.0,2250,0,0,0.0,0,4500,1800,1800,854
neusta,AGENCY,eur,month,89,,0,25.0,25.0,2250,2250,2250.0,1,0,1.0,intro,2250,89.0,0,0,0,0.0,0,2250,0,0,0
lovable,IN_HOUSE,eur,month,89,,0,23.0,25.0,2250,2070,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1490,1490,447
Design Sauce Studio,AGENCY,eur,month,89,,0,25.0,25.0,2250,2250,2250.0,1,0,1.0,intro,2250,89.0,0,0,0,0.0,0,2250,0,0,0
OneBrand,AGENCY,eur,month,199,,0,5.0,100.0,9000,450,9000.0,1,0,1.0,growth,12935,199.0,0,0,0,0.0,0,12935,12485,12485,2305
Puzzle,IN_HOUSE,usd,month,89,,0,22.0,25.0,2250,1980,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1580,1580,474
Boldare,IN_HOUSE,eur,month,96,,1,29.0,30.0,2700,2610,2700.0,1,1,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,950,950,285
Treuenfels,IN_HOUSE,eur,month,89,,0,25.0,25.0,2250,2250,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1310,1310,393
American Songwriter,IN_HOUSE,usd,month,89,,0,6.0,25.0,2250,540,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,3020,3020,906
Skycoach,IN_HOUSE,eur,month,227,,0,25.0,25.0,5250,5250,5250.0,1,0,1.0,pro,14925,199.0,0,0,0,0.0,0,14925,9675,9675,1548
Balani Custom Clothiers,IN_HOUSE,usd,month,89,,0,25.0,25.0,2250,2250,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1310,1310,393
Enhesa,IN_HOUSE,eur,month,89,,0,25.0,25.0,2250,2250,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1310,1310,393
Pestana Hotel Group,AGENCY,eur,month,89,,0,19.0,25.0,2250,1710,2250.0,1,0,1.0,intro,2250,89.0,0,0,0,0.0,0,2250,540,540,256
SEMTRIX GmbH,AGENCY,eur,month,178,,0,50.0,50.0,4500,4500,4500.0,2,0,2.0,intro,2250,89.0,2250,0,0,0.0,0,4500,0,0,0
DataDome,IN_HOUSE,eur,month,248,,0,99.0,100.0,12000,11880,12000.0,1,1,1.0,pro,14925,199.0,0,0,0,0.0,0,14925,3045,3045,487
Holtzbrinck Buchverlage GmbH,AGENCY,eur,month,496,,0,148.0,200.0,24000,17760,24000.0,2,0,2.0,growth,12935,199.0,11065,0,0,0.0,0,24000,6240,6240,1152
thortful,IN_HOUSE,eur,month,89,,0,7.0,25.0,2250,630,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,2930,2930,879
Financial Modeling Prep,IN_HOUSE,eur,month,89,,0,25.0,25.0,2250,2250,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1310,1310,393
Advice Agency,AGENCY,eur,month,199,,0,0.0,25.0,2250,0,2250.0,1,0,4.0,growth,12935,199.0,0,0,0,0.0,0,12935,12935,12935,2388
Jaywing,AGENCY,eur,month,199,,0,5.0,25.0,2250,450,2250.0,1,0,2.0,growth,12935,199.0,0,0,0,0.0,0,12935,12485,12485,2305
lehof,AGENCY,eur,month,90,,0,27.0,50.0,4500,2430,4500.0,2,0,1.0,intro,2250,89.0,25,2225,2447,0.0,0,4500,2070,0,0
Velaspan,IN_HOUSE,usd,month,89,,0,22.0,25.0,2250,1980,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1580,1580,474
Sunlab GmbH,AGENCY,eur,month,199,,0,8.0,100.0,9000,720,9000.0,1,0,1.0,growth,12935,199.0,0,0,0,0.0,0,12935,12215,12215,2255
Check24,IN_HOUSE,eur,month,180,,0,39.0,90.0,6300,2340,6300.0,3,3,3.0,starter,3560,89.0,2740,0,0,0.0,0,6300,3960,3960,1188
Flow Agency,AGENCY,eur,month,210,,0,68.0,90.0,9000,6810,9000.0,3,2,4.0,growth,12935,199.0,0,0,0,0.0,0,12935,6125,6125,1131
Hearts & Science,AGENCY,eur,month,1500,,0,923.0,1150.0,103500,83070,103500.0,26,0,,scale,37425,499.0,66075,0,0,0.0,0,103500,20430,20430,3269
Galaxy4Games,IN_HOUSE,eur,month,89,,0,25.0,25.0,2250,2250,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1310,1310,393
TCF,IN_HOUSE,eur,month,300,,0,65.0,100.0,9000,5850,9000.0,4,0,4.0,pro,14925,199.0,0,0,0,0.0,0,14925,9075,9075,1452
LBASAD,IN_HOUSE,eur,month,89,,0,24.0,25.0,2250,2160,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1400,1400,420
morefire,AGENCY,eur,month,90,,0,16.0,25.0,2250,1440,2250.0,1,0,1.0,intro,2250,89.0,0,0,0,0.0,0,2250,810,810,384
RunThrough,IN_HOUSE,eur,month,89,,0,12.0,25.0,2250,1080,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,2480,2480,744
Tesla,AGENCY,eur,month,89,,0,20.0,25.0,2250,1800,2250.0,1,0,1.0,intro,2250,89.0,0,0,0,0.0,0,2250,450,450,214
UneeQ,IN_HOUSE,eur,month,167,,0,25.0,25.0,5250,5250,5250.0,1,0,1.0,starter,3560,89.0,1690,0,0,0.0,0,5250,0,0,0
Reedsy,IN_HOUSE,eur,month,199,,0,100.0,100.0,9000,9000,9000.0,1,0,1.0,pro,14925,199.0,0,0,0,0.0,0,14925,5925,5925,948
TEAM99,AGENCY,eur,month,89,,0,6.0,25.0,2250,540,2250.0,1,0,1.0,intro,2250,89.0,0,0,0,0.0,0,2250,1710,1710,812
Radyant,AGENCY,eur,month,499,,0,241.0,250.0,22500,21690,22500.0,10,0,16.0,growth,12935,199.0,9565,0,0,0.0,0,22500,810,810,150
DKC,AGENCY,eur,month,1395,,0,45.0,175.0,27000,10800,27000.0,4,0,,scale,37425,499.0,0,0,0,0.0,0,37425,26625,26625,4260
Digitalkeys,AGENCY,eur,month,100,,0,39.0,100.0,9000,3510,9000.0,2,0,1.0,intro,2250,89.0,265,6485,7133,0.0,0,9000,5490,0,0
Yogo,IN_HOUSE,eur,month,199,,0,77.0,100.0,9000,6930,9000.0,1,0,1.0,pro,14925,199.0,0,0,0,0.0,0,14925,7995,7995,1279
Nord Security,IN_HOUSE,eur,month,199,,0,103.0,105.0,9450,9270,9450.0,4,0,4.0,pro,14925,199.0,0,0,0,0.0,0,14925,5655,5655,905
Boxhub,IN_HOUSE,eur,month,89,,0,5.0,25.0,2250,450,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,3110,3110,933
Brandness B.V.,AGENCY,eur,month,178,,0,8.0,50.0,4500,720,4500.0,2,0,2.0,intro,2250,89.0,2250,0,0,0.0,0,4500,3780,3780,1794
Desquared,AGENCY,eur,month,89,,0,6.0,25.0,2250,540,2250.0,1,0,1.0,intro,2250,89.0,0,0,0,0.0,0,2250,1710,1710,812
Circle,IN_HOUSE,eur,month,199,,0,100.0,100.0,9000,9000,9000.0,1,0,1.0,pro,14925,199.0,0,0,0,0.0,0,14925,5925,5925,948
Mint Position,AGENCY,eur,month,198,,0,100.0,150.0,13500,9000,13500.0,6,0,4.0,intro,2250,89.0,2756,8494,9344,0.0,0,13500,4500,0,0
DJE,IN_HOUSE,eur,month,199,,0,24.0,100.0,9000,2160,9000.0,1,0,1.0,pro,14925,199.0,0,0,0,0.0,0,14925,12765,12765,2042
Help Scout,IN_HOUSE,usd,month,89,,0,25.0,25.0,2250,2250,2250.0,1,0,1.0,starter,3560,89.0,0,0,0,0.0,0,3560,1310,1310,393
