name,type,domain,stripe_customer_id,stripe_subscription_id,purchased_capacity,orgs_purchased,orgs_count,prompts_count,prompt_limit,credits_usage,credits_capacity,orgs_count_hf,subscription_id,mrr,arr,discount_count,currency,interval,baseline_credits_needed,effective_discount_pct,new_plan,plan_credits,plan_price,credit_price,purchased_credits,extra_credits_granted,extra_credits_granted_10,discount_amount,discount_pct,total_available_credits
IBEX,AGENCY,ibex.co.th,cus_Sz7FnkfcRXxXJK,sub_1S3Cb0KojVEYZPlXalCE4f3U,25.0,1.0,1.0,9.0,25.0,810.0,2250.0,0.0,sub_1S3Cb0KojVEYZPlXalCE4f3U,89,,0.0,eur,month,2250.0,0,intro,2250,89,0.03955555555555555,0.0,0.0,0.0,0.0,0.0,2250
Digitombs Ltd,AGENCY,digitombs.co.uk,cus_T9OkVrKS9pPVMc,sub_1SD606KojVEYZPlXd6OD3ee6,25.0,1.0,1.0,23.0,25.0,2070.0,2250.0,0.0,sub_1SD606KojVEYZPlXd6OD3ee6,89,,0.0,eur,month,2250.0,0,intro,2250,89,0.03955555555555555,0.0,0.0,0.0,0.0,0.0,2250
Sales Talent Inc.,IN_HOUSE,salestalentinc.com,cus_SRy6A84Bd9kx0g,sub_1RX4BEKojVEYZPlXht41ySHu,25.0,1.0,1.0,18.0,25.0,1620.0,2250.0,0.0,sub_1RX4BEKojVEYZPlXht41ySHu,89,,0.0,usd,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
ActiveCampaign,IN_HOUSE,activecampaign.com,cus_SavrImT0nG3me9,sub_1S5sZXKojVEYZPlXOKKpalox,100.0,1.0,1.0,19.0,100.0,1710.0,9000.0,0.0,sub_1S5sZXKojVEYZPlXOKKpalox,199,,0.0,eur,month,9000.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,14925
Unobravo,IN_HOUSE,unobravo.com,cus_SZjRQPcjehuJPu,sub_1ReZzaKojVEYZPlXKHL5RBze,25.0,1.0,1.0,25.0,25.0,2250.0,2250.0,0.0,sub_1ReZzaKojVEYZPlXKHL5RBze,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Newsflare,IN_HOUSE,newsflare.com,cus_T9LDzlJlUsLPpp,sub_1SD2YVKojVEYZPlXFcc82N7I,25.0,1.0,1.0,5.0,25.0,450.0,2250.0,0.0,sub_1SD2YVKojVEYZPlXFcc82N7I,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Supademo,IN_HOUSE,supademo.com,cus_SUc7NUgla2aNv6,sub_1Rbgt2KojVEYZPlXxFKwLXyT,100.0,1.0,1.0,63.0,100.0,5670.0,9000.0,0.0,sub_1Rbgt2KojVEYZPlXxFKwLXyT,199,,0.0,eur,month,9000.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,14925
Cegid,IN_HOUSE,cegid.com,cus_T3nAxCFRqWvqob,sub_1SE6dvKojVEYZPlXCk8z5mnO,100.0,1.0,1.0,5.0,100.0,450.0,9000.0,0.0,sub_1SE6dvKojVEYZPlXCk8z5mnO,199,,0.0,eur,month,9000.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,14925
Orthomol,IN_HOUSE,orthomol.com,cus_ScIVxb13F6BcSo,sub_1RjKvGKojVEYZPlXjHsHOprl,25.0,1.0,1.0,25.0,25.0,2250.0,2250.0,0.0,sub_1RjKvGKojVEYZPlXjHsHOprl,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
HiPeople,IN_HOUSE,hipeople.io,cus_Sr9eVKtOUJJMeY,sub_1RxSMEKojVEYZPlXK558iqG9,25.0,1.0,1.0,8.0,25.0,720.0,2250.0,0.0,sub_1RxSMEKojVEYZPlXK558iqG9,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
hipages Group,IN_HOUSE,hipagessgroup.com.au,cus_SQyeoHdBD24pVE,sub_1RfvOvKojVEYZPlX2qYXNBEs,100.0,1.0,1.0,98.0,100.0,20580.0,21000.0,0.0,sub_1RfvOvKojVEYZPlX2qYXNBEs,278,,0.0,eur,month,21000.0,0,pro,14925,199,0.013333333333333334,5925.0,150.0,165.0,0.0,0.0,21000
Floowi,IN_HOUSE,floowitalent.com,cus_TAWyr4tuRoCJk2,sub_1SEBumKojVEYZPlXfW5cC6Cz,100.0,1.0,1.0,15.0,100.0,1350.0,9000.0,0.0,sub_1SEBumKojVEYZPlXfW5cC6Cz,150,,0.0,eur,month,9000.0,0,starter,3560,89,0.025,2440.0,3000.0,3300.0000000000005,0.0,0.0,9000
TribeTokes,IN_HOUSE,tribetokes.com,cus_T9TBkddundPp7A,sub_1SDAFyKojVEYZPlX2MpEo7fc,25.0,1.0,1.0,7.0,25.0,630.0,2250.0,0.0,sub_1SDAFyKojVEYZPlX2MpEo7fc,89,,0.0,usd,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Namespace,IN_HOUSE,namespace.so,cus_T2KPSdFuCfVz3x,sub_1S6FluKojVEYZPlXQYFeQHc6,25.0,1.0,1.0,15.0,25.0,1350.0,2250.0,0.0,sub_1S6FluKojVEYZPlXQYFeQHc6,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
CAMPFIRE,IN_HOUSE,camp-fire.jp,cus_SHDFLGt0fjTD5G,sub_1RMepIKojVEYZPlXT0nQph6o,25.0,1.0,1.0,13.0,25.0,1170.0,2250.0,0.0,sub_1RMepIKojVEYZPlXT0nQph6o,90,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Impactful Apartment Marketing,IN_HOUSE,impactfulapartmentmarketing.com,cus_SroQntkua09LJV,sub_1Rw4nHKojVEYZPlX9lKpYyN6,125.0,16.0,10.0,134.0,248.0,12060.0,22320.0,0.0,sub_1Rw4nHKojVEYZPlX9lKpYyN6,496,,0.0,eur,month,22320.0,0,pro,14925,199,0.013333333333333334,7395.0,0.0,0.0,0.0,0.0,22320
BIT Capital,IN_HOUSE,bitcap.com,cus_StXtjWSpXUR8ZS,sub_1Rxl6dKojVEYZPlX008VQacS,25.0,2.0,2.0,7.0,50.0,630.0,4500.0,0.0,sub_1Rxl6dKojVEYZPlX008VQacS,178,,0.0,eur,month,4500.0,0,starter,3560,89,0.025,940.0,0.0,0.0,0.0,0.0,4500
Simpalm,IN_HOUSE,simpalm.com,cus_Sx4mlqKp866WPp,sub_1S1XOYKojVEYZPlXimd8fmoU,25.0,1.0,1.0,21.0,25.0,1890.0,2250.0,0.0,sub_1S1XOYKojVEYZPlXimd8fmoU,89,,0.0,usd,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Digital Gravity,AGENCY,digitalgravity.ae,cus_T776IBboYAbG5S,sub_1SB9f3KojVEYZPlXpvWr8oTA,25.0,1.0,1.0,24.0,25.0,2160.0,2250.0,0.0,sub_1SB9f3KojVEYZPlXpvWr8oTA,89,,0.0,eur,month,2250.0,0,intro,2250,89,0.03955555555555555,0.0,0.0,0.0,0.0,0.0,2250
Sam Ficek,AGENCY,samficek.com,cus_Sc0ulVSeLDVbPK,sub_1RgmuHKojVEYZPlXej0p84U5,25.0,1.0,1.0,18.0,25.0,1620.0,2250.0,0.0,sub_1RgmuHKojVEYZPlXej0p84U5,89,,0.0,eur,month,2250.0,0,intro,2250,89,0.03955555555555555,0.0,0.0,0.0,0.0,0.0,2250
